Specified points                        	H:\PRIMO\Prominent Hill\All COGs 030109\SB30\COG50\ph access COG50 30m levels.csv
Min turning circle radius               	25 m
Max gradient                            	1:7
Development cost rate of decline        	5000 $/m
Development cost rate of crosscut       	5000 $/m
Haulage cost rate along decline         	1.8 $/t km
Haulage cost rate along crosscut        	1 $/t km
Curvature penalty                       	0 %
Optimization level                      	13
Min straight length between opp curves  	0 m
Min straight length at top of declines  	20 m
Lateral offset penalty                  	0 $/m
Spacing between calculated points       	2 m

		Group	 Decline x	 Decline y	 Decline z	Brng (°)	Description	Length (m)	Gradient	Devel ($)	 Haul ($)	Total ($)	
		  201	 55772.118	 12061.610	  9200.000	   315.0	1 W        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLSLSR    	    212.13	 1:7.00  	  1060660	  1546064	  2606724	
		  402	 55772.118	 12061.610	  9230.000	    45.0	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SLSL       	    212.13	 1:7.00  	  1060660	  1690261	  2750921	
		  403	 55772.118	 12061.610	  9260.000	    45.0	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SLSLSL     	    219.95	 1:7.00  	  1099748	  1838626	  2938373	
		  404	 55777.754	 12082.390	  9291.106	    99.3	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSL        	     35.52	 1:7.00  	   177589	   549209	   726797	
		  301	 55744.898	 12071.731	  9296.126	    64.6	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SLSR       	     36.35	 1:7.00  	   181746	   563995	   745741	
		  302	 55716.453	 12050.447	  9301.266	    46.3	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SLSLSR     	    132.47	 1:7.00  	   662344	  2078981	  2741325	
		  405	 55772.118	 12061.610	  9320.000	   210.0	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SLSLSR     	    149.73	 1:7.00  	   748656	  2446677	  3195332	
		  406	 55713.994	 12056.423	  9341.175	    40.3	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SLSR       	     47.94	 1:7.00  	   239693	   794861	  1034553	
		  303	 55712.501	 12011.985	  9347.955	   344.1	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLSLR     	    187.20	 1:7.00  	   935990	  3103897	  4039887	
		  304	 55759.449	 12025.935	  9374.428	   167.6	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSL       	     39.40	 1:7.00  	   196982	   679471	   876453	
		  407	 55772.118	 12061.610	  9380.000	   210.0	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSRSR     	    170.09	 1:7.00  	   850434	  3863258	  4713692	
		  408	 55777.504	 12021.631	  9404.054	    95.3	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSL       	     58.41	 1:7.00  	   292040	  1392701	  1684741	
		  305	 55726.802	 12046.229	  9412.314	   105.7	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSR       	    120.01	 1:7.00  	   600027	  2861451	  3461478	
		  306	 55778.231	 12099.161	  9429.285	   276.9	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSL       	     93.06	 1:7.00  	   465309	  2225628	  2690937	
		  409	 55787.017	 12042.364	  9442.446	    52.9	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSRSRSL    	    194.83	 1:7.00  	   974170	  4712624	  5686794	
		  410	 55772.118	 12061.610	  9470.000	   195.0	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSRSRSL    	    132.75	 1:7.00  	   663728	  3504630	  4168358	
		  307	 55812.905	 12060.879	  9488.773	    16.0	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSRS       	    112.74	 1:7.00  	   563724	  3595459	  4159183	
		  308	 55794.475	 11983.750	  9504.718	    79.6	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSRSL      	     58.80	 1:7.00  	   293988	  1880063	  2174051	
		  411	 55739.395	 11977.329	  9513.033	   101.1	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSR       	     65.56	 1:7.00  	   327806	  2435139	  2762944	
		  412	 55711.061	 12026.175	  9522.305	   181.7	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSL       	     90.44	 1:7.00  	   452185	  3418283	  3870468	
		  309	 55768.369	 12015.632	  9535.094	   334.5	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSRSRSL    	    181.62	 1:7.00  	   908083	  6952061	  7860144	
		  310	 55768.198	 11968.197	  9560.779	   108.5	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSL       	     57.62	 1:7.00  	   288116	  2418256	  2706372	
		  413	 55738.861	 12014.860	  9568.928	   151.9	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLSLSR    	    177.16	 1:7.00  	   885816	  7545360	  8431175	
		  414	 55747.033	 11987.526	  9593.983	   300.1	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SLSL       	     29.16	 1:7.00  	   145794	  1392987	  1538781	
		  311	 55774.769	 11979.968	  9598.106	   282.2	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSRSRSL    	    186.22	 1:7.00  	   931096	  8983710	  9914806	
		  312	 55793.684	 11968.440	  9624.442	    89.4	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSL       	     45.15	 1:7.00  	   225764	  2193190	  2418954	
		  415	 55756.954	 11991.944	  9630.827	   130.1	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLSLSR    	    154.15	 1:7.00  	   770762	  7519109	  8289872	
		  416	 55725.336	 11987.008	  9652.628	   306.3	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SLSR       	     45.90	 1:7.00  	   229481	  2270684	  2500165	
		  313	 55769.558	 11979.976	  9659.118	   276.8	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLSLSR    	    175.41	 1:7.00  	   877046	  9442290	 10319335	
		  314	 55799.794	 12004.200	  9683.925	    88.0	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SLSR       	     43.59	 1:7.00  	   217954	  2427521	  2645475	
		  417	 55757.930	 11995.083	  9690.090	    82.4	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSRSR      	    172.57	 1:7.00  	   862846	 10927296	 11790141	
		  418	 55745.761	 12022.941	  9714.495	   325.0	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSR       	     30.24	 1:7.00  	   151190	  1934986	  2086176	
		  315	 55757.432	 11995.438	  9718.771	   339.0	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SLSL       	    150.11	 1:7.00  	   750562	  9858605	 10609167	
		  316	 55800.000	 12031.811	  9740.000	   120.0	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSR       	     97.01	 1:7.00  	   485037	  6440133	  6925170	
		  419	 55817.276	 12094.965	  9753.719	   257.7	           	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSRS      	    277.76	 1:7.00  	  1388796	 18455490	 19844285	
		  500	 55820.000	 11928.000	  9793.000	    91.6	top        	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  219	 55772.118	 12061.610	  9740.000	   315.0	19 W       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLSS      	     97.01	 1:7.00  	   485037	     5453	   490491	
		  419	 55817.276	 12094.965	  9753.719	   167.7	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  218	 55772.118	 12061.610	  9710.000	   345.0	18 W       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSRS       	     51.05	 1:11.31 	   255235	    34223	   289458	
		  418	 55745.761	 12022.941	  9714.495	    55.0	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  217	 55772.118	 12061.610	  9680.000	     0.0	17 W       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLSS      	     71.34	 1:7.00  	   356722	   544521	   901243	
		  417	 55757.930	 11995.083	  9690.090	   352.4	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  216	 55772.118	 12061.610	  9650.000	     0.0	16 W       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSRS       	     88.92	 1:33.83 	   444609	    61994	   506603	
		  416	 55725.336	 11987.008	  9652.628	    36.3	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  215	 55772.118	 12061.610	  9620.000	     0.0	15 W       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSRS       	     76.72	 1:7.02  	   383609	    15695	   399304	
		  415	 55756.954	 11991.944	  9630.827	    40.1	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  214	 55772.118	 12061.610	  9590.000	     0.0	14 W       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSRS       	     79.00	 1:19.81 	   394996	   409409	   804405	
		  414	 55747.033	 11987.526	  9593.983	    30.1	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  213	 55772.118	 12061.610	  9560.000	     0.0	13 W       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSRS      	     63.13	 1:7.00  	   315649	    39344	   354993	
		  413	 55738.861	 12014.860	  9568.928	    61.9	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  212	 55772.118	 12061.610	  9530.000	     0.0	12 W       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSRS       	     79.27	 1:-10.25	   396333	    51871	   448204	
		  412	 55711.061	 12026.175	  9522.305	    91.7	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  211	 55772.118	 12061.610	  9500.000	     0.0	11 W       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLS       	     92.16	 1:7.00  	   460790	   476255	   937045	
		  411	 55739.395	 11977.329	  9513.033	    11.1	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  210	 55772.118	 12061.610	  9470.000	   285.0	10 W       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	L          	      0.00	 level   	        0	        0	        0	
		  410	 55772.118	 12061.610	  9470.000	   285.0	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  209	 55772.118	 12061.610	  9440.000	   315.0	9 W        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSRS       	     24.47	 1:9.95  	   122355	     6664	   129019	
		  409	 55787.017	 12042.364	  9442.446	   322.9	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  208	 55772.118	 12061.610	  9410.000	   315.0	8 W        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSRS       	     42.44	 1:-7.07 	   212211	    47998	   260209	
		  408	 55777.504	 12021.631	  9404.054	     5.3	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  207	 55772.118	 12061.610	  9380.000	   300.0	7 W        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	L          	      0.00	 level   	        0	        0	        0	
		  407	 55772.118	 12061.610	  9380.000	   300.0	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  206	 55772.118	 12061.610	  9350.000	     0.0	6 W        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSRS       	     79.29	 1:-8.93 	   396453	    19059	   415512	
		  406	 55713.994	 12056.423	  9341.175	   130.3	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  205	 55772.118	 12061.610	  9320.000	   300.0	5 W        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	L          	      0.00	 level   	        0	        0	        0	
		  405	 55772.118	 12061.610	  9320.000	   300.0	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  204	 55772.118	 12061.610	  9290.000	   270.0	4 W        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSLS       	    169.20	 1:153.05	   846022	  1201962	  2047984	
		  404	 55777.754	 12082.390	  9291.106	     9.3	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  203	 55772.118	 12061.610	  9260.000	   315.0	3 W        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	L          	      0.00	 level   	        0	        0	        0	
		  403	 55772.118	 12061.610	  9260.000	   315.0	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  202	 55772.118	 12061.610	  9230.000	   315.0	2 W        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	L          	      0.00	 level   	        0	        0	        0	
		  402	 55772.118	 12061.610	  9230.000	   315.0	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  116	 55800.000	 12031.811	  9740.000	    30.0	16 E       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	L          	      0.00	 level   	        0	        0	        0	
		  316	 55800.000	 12031.811	  9740.000	    30.0	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  115	 55800.000	 12031.811	  9710.000	     0.0	15 E       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	SRSLS      	     62.02	 1:7.00  	   310098	   104389	   414488	
		  315	 55757.432	 11995.438	  9718.771	    69.0	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  114	 55800.000	 12031.811	  9680.000	    15.0	14 E       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSLS       	     27.98	 1:7.06  	   139895	    52010	   191905	
		  314	 55799.794	 12004.200	  9683.925	   358.0	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  113	 55800.000	 12031.811	  9650.000	    45.0	13 E       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLSS      	     64.48	 1:7.00  	   322383	   280849	   603233	
		  313	 55769.558	 11979.976	  9659.118	     6.8	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  112	 55800.000	 12031.811	  9620.000	    15.0	12 E       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSLS       	     64.04	 1:14.38 	   320191	    21124	   341315	
		  312	 55793.684	 11968.440	  9624.442	   359.4	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  111	 55800.000	 12031.811	  9590.000	    30.0	11 E       	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLS       	     59.34	 1:7.25  	   296702	    27909	   324610	
		  311	 55774.769	 11979.968	  9598.106	    12.2	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  110	 55800.000	 12031.811	  9560.000	    30.0	10 E       	      0.00	         	        0	        0	        0	
